GalaxyID_test,Mass_Host,GroupID_test,GalaxyID_V1,GalaxyID_V2,R_1,R_2,r_sep_1,r_sep_2,mu_1,mu_2,N_1,N_2,N_3
13833469,41173749760.0,28000000000172,14545424,13835363,220.547683193796,332.3181271879266,17.59304131169586,67.46154973783737,3.126908229404851,0.42468388713498606,2,2,2
13835363,17485828096.0,28000000000172,13833469,14545424,332.3181271879266,380.33324477293917,67.46154973783737,29.90332067062793,2.354692584986511,7.362907621712902,2,2,2
14545424,128746536960.0,28000000000172,13833469,13835363,220.547683193796,380.33324477293917,17.59304131169586,29.90332067062793,0.3198047165555388,0.13581591015090866,2,2,2
14837488,95957000192.0,28000000000206,8283637,8826312,529.6559375766054,1334.8562149262268,35.977396210693676,101.99438115109653,0.39621975530629144,0.13288477970847487,1,3,3
10425478,13974397952.0,28000000002269,15620685,10906515,1685.9333946553513,1804.7685674669071,137.61280115946323,199.92441236510842,7.980221696208355,0.752254307635163,0,2,5
10438463,14501243904.0,28000000002284,17539584,8612764,1785.5249488889867,2827.1773892499264,158.28836543855425,326.6545439020058,4.832600459376426,1.3380645136689095,0,1,3
10463417,10437385216.0,28000000002313,10106168,1707823,2390.1977546885882,4100.887890065825,188.39095498008632,380.01985430296605,1.12215613064137,0.9759728450363636,0,0,1
10464463,12824379392.0,28000000002314,12152677,12153708,1047.1660867572239,1328.3570418899549,147.5852251616381,188.2118138016828,1.7054997968668955,1.364575215461623,0,4,8
10506036,10773614592.0,28000000002363,9893299,9335718,5298.6956718725705,9579.79327206047,497.43502693184894,1044.7441732391403,1.4782364176852856,1.686536817224954,0,0,0
10950179,10971599872.0,28000000002691,8831030,12683165,653.8165010662418,3244.9479355023545,46.2881454614788,304.7626735764383,1.5961665985188418,7.513281732627881,1,1,1
10987642,11468200960.0,28000000002741,10320320,10443502,4038.348879950405,4046.6294182584875,458.3236413830104,456.3424848643115,1.0422169372239531,1.0089622538320082,0,0,0
11618335,13835698176.0,28000000003508,8257780,9483123,672.4795982386653,1175.8787300243664,74.57610656852862,134.36939756123874,1.972847569582599,0.9015950502330472,1,4,26
8602546,17392304128.0,28000000000629,17335180,15197399,208.9597893970136,5049.069332237512,13.406020645517993,239.7004903033816,1.4595887397766645,9.55085903336844,1,1,1
17436624,33863747584.0,28000000000665,8619213,8619952,671.3232247174651,700.9304008732955,81.06223703490748,76.8399185197483,0.5631257585031733,0.38323183267913646,2,2,5
8619213,19069548544.0,28000000000665,8619952,17436624,221.62421206921164,671.3232247174651,31.729751964567296,81.06223703490748,0.6805439582408606,1.775802269564206,2,2,4
8619952,12977666048.0,28000000000665,8619213,17436624,221.62421206921164,700.9304008732955,31.729751964567296,76.8399185197483,1.4694127952952547,2.609386576811997,2,2,4
17528946,55238160384.0,28000000000699,10488152,9020523,3514.79550837307,6014.262868226541,251.771430440433,407.2562501899655,0.19313970932113508,0.47273099513943434,0,0,0
17752120,43401560064.0,28000000000756,11318262,15018059,3216.1826256031136,3520.930604978,164.04703804178274,139.6951720439718,0.3910954509231901,3.921485711136303,0,0,0
8646377,23953956864.0,28000000000765,8648067,10007496,321.4724301747603,1490.2405719220847,22.244313513319987,99.395566274849,0.5422151749600813,0.5939910063620293,1,2,2
8648067,12988198912.0,28000000000765,8646377,10007496,321.4724301747603,1463.1963571806698,22.244313513319987,207.6600539471126,1.8442862652702805,1.0954894547275624,1,2,2
17788553,54719324160.0,28000000000770,15197399,17535726,1353.2182177213529,1846.6136570205479,55.488395920100004,106.88294665166747,3.035699865486058,0.7459170115598153,0,2,3
17875911,40140001280.0,28000000000809,9609022,9292389,1887.89856981102,6610.747495074899,127.71496454658676,537.7744641517943,0.3822006917484583,0.3447570640436213,0,1,1
18018076,42215530496.0,28000000000843,10392035,9851670,2667.342884250698,3582.321144057299,152.58023014953167,211.99110958283003,0.41480655072329903,0.3336828529807231,0,0,1
18151088,41810898944.0,28000000000906,9872798,18056321,2483.8816108745064,6872.561243719326,222.75212119214845,628.7500324953147,0.4798180576521402,0.9058131286468042,0,0,1
18155247,16115506176.0,28000000000908,9350107,17500195,6109.28015788788,6528.066007747043,629.1166899576145,445.2786174777133,1.3923654762651372,5.090700167158063,0,0,0
8709456,25627101184.0,28000000000942,17047718,9135990,4886.1546253652195,5882.733828473093,290.85031862498056,569.9712922963429,2.2622374249724273,0.8181495541559883,0,0,0
18371252,35160129536.0,28000000000992,8809751,9316359,2069.9022934565187,2223.897930864104,166.18664000550237,168.58016991524593,0.6194953504280514,0.6459707787124348,0,0,2
16802829,79861104640.0,28000000000022,12140983,18644986,572.5911776620774,828.8340024929652,45.24841559108929,29.0407588568869,0.15541799548040913,5.105576452993075,4,6,7
17217406,184707350528.0,28000000000036,12642749,19054212,822.6068737102106,1399.6402469936186,47.83831546152009,36.52164684845756,0.13733017688516275,1.5868589760079308,1,2,2
19054212,293104517120.0,28000000000036,17217406,18115428,1399.6402469936186,1962.9262121235606,36.52164684845756,61.682425680816074,0.6301757214215122,0.1831387146108818,0,2,3
19316800,215727636480.0,28000000000045,12690763,12701692,84.94573943977248,206.66501117893128,4.779452451407987,10.833132930476435,0.37162972954293966,0.1985638875155028,3,3,3
10980138,10869601280.0,28000000002730,9705530,10470273,1629.3669627801187,3769.1482538237874,131.17667217696922,375.70129246486596,1.6083272059083293,1.4223278813774483,0,1,1
10986411,10591394816.0,28000000002739,8915063,9355439,5061.276277367461,7283.169769698331,589.3272403082262,787.0040066047287,3.2926919135633512,1.4177864809000809,0,0,0
