GalaxyID,SnapNum,Redshift,SubGroupNumber,CentreOfPotential_x,CentreOfPotential_y,CentreOfPotential_z,Stars_Mass,SF_Mass,NSF_Mass,MassType_DM,MassType_BH,HalfMassRad_Star,HalfMassRad_Gas,HalfMassRad_DM,Stars_Hydrogen,Stars_Oxygen,Stars_Metallicity,SF_Hydrogen,SF_Oxygen,SF_Metallicity,NSF_Hydrogen,NSF_Oxygen,NSF_Metallicity,StarFormationRate,InitialMassWeightedStellarAge,ap_GalaxyID,ApertureSize
21793,28,2.220446049250313e-16,54,11.277281761169434,81.03477478027344,54.13380813598633,40004214784.0,0.0,0.0,75883126784.0,59539836.0,3.7528293132781982,0.0,8.762310981750488,0.6994057297706604,0.011008589528501034,0.024018505588173866,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.753274917602539,21793,40
21793,28,2.220446049250313e-16,54,11.277281761169434,81.03477478027344,54.13380813598633,40004214784.0,0.0,0.0,75883126784.0,59539836.0,3.7528293132781982,0.0,8.762310981750488,0.6994057297706604,0.011008589528501034,0.024018505588173866,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.753274917602539,21793,50
21793,28,2.220446049250313e-16,54,11.277281761169434,81.03477478027344,54.13380813598633,40004214784.0,0.0,0.0,75883126784.0,59539836.0,3.7528293132781982,0.0,8.762310981750488,0.6994057297706604,0.011008589528501034,0.024018505588173866,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.753274917602539,21793,70
21793,28,2.220446049250313e-16,54,11.277281761169434,81.03477478027344,54.13380813598633,40004214784.0,0.0,0.0,75883126784.0,59539836.0,3.7528293132781982,0.0,8.762310981750488,0.6994057297706604,0.011008589528501034,0.024018505588173866,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.753274917602539,21793,100
23301,28,2.220446049250313e-16,61,11.48902416229248,80.55663299560547,54.22847366333008,42122772480.0,0.0,0.0,67099418624.0,50741852.0,1.7459352016448975,0.0,8.699904441833496,0.6724380850791931,0.0156039884313941,0.03545120730996132,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.492469787597656,23301,1
23301,28,2.220446049250313e-16,61,11.48902416229248,80.55663299560547,54.22847366333008,42122772480.0,0.0,0.0,67099418624.0,50741852.0,1.7459352016448975,0.0,8.699904441833496,0.6724380850791931,0.0156039884313941,0.03545120730996132,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.492469787597656,23301,3
23301,28,2.220446049250313e-16,61,11.48902416229248,80.55663299560547,54.22847366333008,42122772480.0,0.0,0.0,67099418624.0,50741852.0,1.7459352016448975,0.0,8.699904441833496,0.6724380850791931,0.0156039884313941,0.03545120730996132,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.492469787597656,23301,5
2044165,28,2.220446049250313e-16,1,19.64082908630371,63.048553466796875,14.622688293457031,10583196672.0,1361391104.0,882331264.0,129651843072.0,5448637.0,6.910987854003906,8.79727554321289,20.06622886657715,0.7086058855056763,0.008881480433046818,0.019984394311904907,0.6493380069732666,0.01851733773946762,0.04566159471869469,0.704352855682373,0.008538085035979748,0.02124236710369587,0.4772458076477051,6.994034290313721,2044165,1
2044165,28,2.220446049250313e-16,1,19.64082908630371,63.048553466796875,14.622688293457031,10583196672.0,1361391104.0,882331264.0,129651843072.0,5448637.0,6.910987854003906,8.79727554321289,20.06622886657715,0.7086058855056763,0.008881480433046818,0.019984394311904907,0.6493380069732666,0.01851733773946762,0.04566159471869469,0.704352855682373,0.008538085035979748,0.02124236710369587,0.4772458076477051,6.994034290313721,2044165,3
2044165,28,2.220446049250313e-16,1,19.64082908630371,63.048553466796875,14.622688293457031,10583196672.0,1361391104.0,882331264.0,129651843072.0,5448637.0,6.910987854003906,8.79727554321289,20.06622886657715,0.7086058855056763,0.008881480433046818,0.019984394311904907,0.6493380069732666,0.01851733773946762,0.04566159471869469,0.704352855682373,0.008538085035979748,0.02124236710369587,0.4772458076477051,6.994034290313721,2044165,5
2044165,28,2.220446049250313e-16,1,19.64082908630371,63.048553466796875,14.622688293457031,10583196672.0,1361391104.0,882331264.0,129651843072.0,5448637.0,6.910987854003906,8.79727554321289,20.06622886657715,0.7086058855056763,0.008881480433046818,0.019984394311904907,0.6493380069732666,0.01851733773946762,0.04566159471869469,0.704352855682373,0.008538085035979748,0.02124236710369587,0.4772458076477051,6.994034290313721,2044165,10
2044165,28,2.220446049250313e-16,1,19.64082908630371,63.048553466796875,14.622688293457031,10583196672.0,1361391104.0,882331264.0,129651843072.0,5448637.0,6.910987854003906,8.79727554321289,20.06622886657715,0.7086058855056763,0.008881480433046818,0.019984394311904907,0.6493380069732666,0.01851733773946762,0.04566159471869469,0.704352855682373,0.008538085035979748,0.02124236710369587,0.4772458076477051,6.994034290313721,2044165,20
2044165,28,2.220446049250313e-16,1,19.64082908630371,63.048553466796875,14.622688293457031,10583196672.0,1361391104.0,882331264.0,129651843072.0,5448637.0,6.910987854003906,8.79727554321289,20.06622886657715,0.7086058855056763,0.008881480433046818,0.019984394311904907,0.6493380069732666,0.01851733773946762,0.04566159471869469,0.704352855682373,0.008538085035979748,0.02124236710369587,0.4772458076477051,6.994034290313721,2044165,30
2044165,28,2.220446049250313e-16,1,19.64082908630371,63.048553466796875,14.622688293457031,10583196672.0,1361391104.0,882331264.0,129651843072.0,5448637.0,6.910987854003906,8.79727554321289,20.06622886657715,0.7086058855056763,0.008881480433046818,0.019984394311904907,0.6493380069732666,0.01851733773946762,0.04566159471869469,0.704352855682373,0.008538085035979748,0.02124236710369587,0.4772458076477051,6.994034290313721,2044165,40
2044165,28,2.220446049250313e-16,1,19.64082908630371,63.048553466796875,14.622688293457031,10583196672.0,1361391104.0,882331264.0,129651843072.0,5448637.0,6.910987854003906,8.79727554321289,20.06622886657715,0.7086058855056763,0.008881480433046818,0.019984394311904907,0.6493380069732666,0.01851733773946762,0.04566159471869469,0.704352855682373,0.008538085035979748,0.02124236710369587,0.4772458076477051,6.994034290313721,2044165,50
2044165,28,2.220446049250313e-16,1,19.64082908630371,63.048553466796875,14.622688293457031,10583196672.0,1361391104.0,882331264.0,129651843072.0,5448637.0,6.910987854003906,8.79727554321289,20.06622886657715,0.7086058855056763,0.008881480433046818,0.019984394311904907,0.6493380069732666,0.01851733773946762,0.04566159471869469,0.704352855682373,0.008538085035979748,0.02124236710369587,0.4772458076477051,6.994034290313721,2044165,70
2044165,28,2.220446049250313e-16,1,19.64082908630371,63.048553466796875,14.622688293457031,10583196672.0,1361391104.0,882331264.0,129651843072.0,5448637.0,6.910987854003906,8.79727554321289,20.06622886657715,0.7086058855056763,0.008881480433046818,0.019984394311904907,0.6493380069732666,0.01851733773946762,0.04566159471869469,0.704352855682373,0.008538085035979748,0.02124236710369587,0.4772458076477051,6.994034290313721,2044165,100
2045966,28,2.220446049250313e-16,3,1.8877079486846924,78.41744995117188,43.648006439208984,11209172992.0,236902928.0,0.0,66808565760.0,7231819.5,3.224954128265381,0.9919815063476562,13.152215003967285,0.7032180428504944,0.009815113618969917,0.02239973470568657,0.55621337890625,0.03252578526735306,0.08646533638238907,0.0,0.0,0.0,0.10796032845973969,7.22976016998291,2045966,1
2045966,28,2.220446049250313e-16,3,1.8877079486846924,78.41744995117188,43.648006439208984,11209172992.0,236902928.0,0.0,66808565760.0,7231819.5,3.224954128265381,0.9919815063476562,13.152215003967285,0.7032180428504944,0.009815113618969917,0.02239973470568657,0.55621337890625,0.03252578526735306,0.08646533638238907,0.0,0.0,0.0,0.10796032845973969,7.22976016998291,2045966,3
2045966,28,2.220446049250313e-16,3,1.8877079486846924,78.41744995117188,43.648006439208984,11209172992.0,236902928.0,0.0,66808565760.0,7231819.5,3.224954128265381,0.9919815063476562,13.152215003967285,0.7032180428504944,0.009815113618969917,0.02239973470568657,0.55621337890625,0.03252578526735306,0.08646533638238907,0.0,0.0,0.0,0.10796032845973969,7.22976016998291,2045966,5
