GalaxyID,SnapNum,Redshift,SubGroupNumber,CentreOfPotential_x,CentreOfPotential_y,CentreOfPotential_z,Stars_Mass,SF_Mass,NSF_Mass,MassType_DM,MassType_BH,HalfMassRad_Star,HalfMassRad_Gas,HalfMassRad_DM,Stars_Hydrogen,Stars_Oxygen,Stars_Metallicity,SF_Hydrogen,SF_Oxygen,SF_Metallicity,NSF_Hydrogen,NSF_Oxygen,NSF_Metallicity,StarFormationRate,InitialMassWeightedStellarAge,ap_GalaxyID,ApertureSize,Mass_Star,SFR
17997834,28,2.220446049250313e-16,0,88.86875915527344,50.60347366333008,95.48320770263672,49474834432.0,10028625920.0,108953354240.0,1775831875584.0,56258548.0,14.538660049438477,197.14028930664062,116.966552734375,0.7083324790000916,0.009166513569653034,0.020197363570332527,0.6660627722740173,0.016279185190796852,0.038541536778211594,0.7399885654449463,0.002444386947900057,0.005502037238329649,3.4685654640197754,6.088926315307617,17997834,10,18371424256.0,1.0651038885116577
18000127,28,2.220446049250313e-16,0,90.8493423461914,45.44895553588867,58.63121032714844,48775798784.0,3799954176.0,135918632960.0,1615475769344.0,40548680.0,7.376769542694092,204.68661499023438,118.1688232421875,0.699340283870697,0.010564658790826797,0.023986591026186943,0.6361108422279358,0.020751692354679108,0.050900980830192566,0.7437200546264648,0.001641124952584505,0.0037578102201223373,3.731872081756592,6.977977752685547,18000127,10,30110068736.0,3.671422004699707
18002122,28,2.220446049250313e-16,0,9.177457809448242,56.911258697509766,16.773895263671875,40588132352.0,1019068800.0,77654892544.0,2159930245120.0,137848400.0,3.687901258468628,204.05335998535156,111.83415985107422,0.7090868949890137,0.009169119410216808,0.019863806664943695,0.6756350994110107,0.014164957217872143,0.03456316888332367,0.7483696341514587,0.0007359670707955956,0.0016584107652306557,0.28923532366752625,9.887940406799316,18002122,10,29192189952.0,0.008656523190438747
18004918,28,2.220446049250313e-16,0,63.79193115234375,57.59790802001953,90.05760955810547,55634714624.0,9257526272.0,114753478656.0,1767901364224.0,76913320.0,7.354481220245361,189.89852905273438,111.5728530883789,0.698148787021637,0.0108186025172472,0.02448411099612713,0.6687735319137573,0.015432487241923809,0.036995481699705124,0.7445765733718872,0.0014744363725185394,0.0033687702380120754,3.900554895401001,7.035172462463379,18004918,10,33496154112.0,1.8281606435775757
18007672,28,2.220446049250313e-16,0,66.44945526123047,69.8590087890625,93.33244323730469,35806068736.0,6270825984.0,106682441728.0,1767969259520.0,37768144.0,7.248952388763428,203.23765563964844,121.25951385498047,0.7075386047363281,0.009088858030736446,0.02042480744421482,0.6694827079772949,0.015431918203830719,0.036900173872709274,0.746590793132782,0.001106602605432272,0.0024912585504353046,2.620561361312866,6.440496444702148,18007672,10,22113818624.0,1.3566513061523438
18010353,28,2.220446049250313e-16,0,66.9623031616211,36.46978759765625,18.97661781311035,56201740288.0,4197385728.0,78119542784.0,2003006128128.0,83202712.0,2.5474791526794434,185.76580810546875,107.2607421875,0.6832357048988342,0.013301833532750607,0.03077261708676815,0.7040656208992004,0.009800931438803673,0.02226817049086094,0.7459606528282166,0.0012301543029025197,0.0027634187135845423,1.4961410760879517,9.441494941711426,18010353,10,46966370304.0,0.030999813228845596
18012948,28,2.220446049250313e-16,0,52.41448974609375,15.617927551269531,13.944272994995117,51230150656.0,41801400.0,35680071680.0,2281302654976.0,146530720.0,6.234920024871826,211.91934204101562,106.2809066772461,0.7161199450492859,0.007912000641226768,0.016876881942152977,0.6697751879692078,0.01545020379126072,0.03655968979001045,0.744010865688324,0.0015378643292933702,0.003656326327472925,0.05819234624505043,9.826103210449219,18012948,10,32633839616.0,0.05392902344465256
18016379,28,2.220446049250313e-16,0,33.359336853027344,40.24814987182617,67.33135223388672,22609065984.0,1656002432.0,78779629568.0,1590811820032.0,25975386.0,4.0261759757995605,186.3829345703125,128.85110473632812,0.708377480506897,0.008930487558245659,0.020080192014575005,0.6549688577651978,0.01754705235362053,0.04277559369802475,0.7454749345779419,0.0013320153811946511,0.0029977180529385805,1.2323582172393799,6.401073932647705,18016379,10,18287673344.0,1.2109277248382568
18018076,28,2.220446049250313e-16,0,55.809356689453125,82.70954895019531,72.46527862548828,42215530496.0,10678223872.0,120165097472.0,1547057889280.0,63656044.0,12.561088562011719,185.97120666503906,111.01396942138672,0.7079610824584961,0.00911258440464735,0.0202811099588871,0.6803132891654968,0.013798469677567482,0.03237530216574669,0.74528568983078,0.0013723253505304456,0.0030807785224169493,3.8018107414245605,6.221579074859619,18018076,10,17202733056.0,0.9086823463439941
18020417,28,2.220446049250313e-16,0,43.728797912597656,81.30833435058594,36.71629333496094,25936689152.0,5770458112.0,122229153792.0,1641283977216.0,19501774.0,9.714765548706055,210.6903076171875,139.412841796875,0.7108767628669739,0.008552572689950466,0.019037697464227676,0.6812437772750854,0.013545861467719078,0.031934965401887894,0.7455852627754211,0.001309115905314684,0.0029406214598566294,1.9977673292160034,7.235927104949951,18020417,10,13230366720.0,0.5781595706939697
