GalaxyID,SnapNum,Stars_Mass,SF_Hydrogen,SF_Oxygen
15674022,12,12310696960.0,0.7342265844345093,0.004943672101944685
15680056,12,15170718720.0,0.7102089524269104,0.00985808577388525
15683430,12,25287673856.0,0.7190261483192444,0.007774461526423693
15700127,12,15849388032.0,0.7177650928497314,0.008457453921437263
15710037,12,23392735232.0,0.7270711660385132,0.006321292370557785
15727826,12,39705751552.0,0.7045404314994812,0.009862223640084267
18608770,12,15957002240.0,0.7411507368087769,0.003093054983764887
18622144,12,28567154688.0,0.7204520106315613,0.006908330600708723
18624455,12,12491920384.0,0.7137306928634644,0.008302833884954453
18627582,12,17509404672.0,0.7354389429092407,0.003321191528812051
18645002,12,78854094848.0,0.7412137389183044,0.0030930666252970695
18651136,12,14560604160.0,0.7281805872917175,0.006405539810657501
18665159,12,15757163520.0,0.7330228686332703,0.004646874498575926
18680991,12,44583682048.0,0.7348264455795288,0.004373239818960428
21834539,12,55987519488.0,0.6960958242416382,0.009499374777078629
21836007,12,14731410432.0,0.7288628816604614,0.005790985655039549
21837919,12,34918936576.0,0.6914950013160706,0.012422986328601837
21840928,12,71023337472.0,0.7408450841903687,0.0032198599074035883
21859607,12,11784242176.0,0.7315962910652161,0.005358906462788582
21875745,12,31108139008.0,0.7215774059295654,0.007321531884372234
21878873,12,21291732992.0,0.7259339690208435,0.005209216848015785
21924791,12,39285329920.0,0.7183916568756104,0.00769234960898757
21928046,12,15399035904.0,0.729235827922821,0.005948258098214865
13972951,12,19029753856.0,0.7396136522293091,0.0034931907430291176
13989429,12,16104057856.0,0.7020120620727539,0.009820711798965931
13995983,12,14371168256.0,0.731937050819397,0.005310163367539644
14007151,12,22729467904.0,0.7284144163131714,0.00571681372821331
14032080,12,20740315136.0,0.7299173474311829,0.0056418306194245815
14047323,12,17465659392.0,0.7187650203704834,0.0075141568668186665
16774796,12,34791735296.0,0.7213160395622253,0.007653743494302034
16778527,12,12059848704.0,0.7363422513008118,0.003986132796853781
16791982,12,44977676288.0,0.7236264944076538,0.006864405237138271
16807953,12,51177447424.0,0.7202380299568176,0.007557916920632124
16824777,12,35191418880.0,0.7238726019859314,0.006869077682495117
16832160,12,22494445568.0,0.7357971668243408,0.0038796430453658104
16841721,12,11023518720.0,0.7327905297279358,0.004224484786391258
16852701,12,10604451840.0,0.728903591632843,0.0061172298155725
19488348,12,17029644288.0,0.7099212408065796,0.009961692616343498
19496245,12,10668079104.0,0.7422744035720825,0.0021763283293694258
19507576,12,23429599232.0,0.7257610559463501,0.0057082450948655605
19523883,12,10007885824.0,0.724361777305603,0.00691589992493391
19534464,12,43724939264.0,0.6964839696884155,0.011369801126420498
19536511,12,11041622016.0,0.7315252423286438,0.004980459343641996
19546017,12,21275742208.0,0.7319027781486511,0.004984935279935598
19556679,12,37904830464.0,0.7420112490653992,0.002436405047774315
14395671,12,10210256896.0,0.7349101901054382,0.004799750633537769
14407376,12,47510872064.0,0.7375728487968445,0.003508018096908927
14418336,12,11801724928.0,0.7141502499580383,0.008457973599433899
14449283,12,16282832896.0,0.7248359322547913,0.006172585301101208
14451021,12,11103899648.0,0.7154294848442078,0.007207230199128389
14459789,12,15406871552.0,0.7366669774055481,0.003976530861109495
14476604,12,10785900544.0,0.7335950136184692,0.004870306234806776
