GalaxyID,SnapNum,GroupID,SubGroupNumber,Stars_Mass,SF_Hydrogen,SF_Oxygen,SF_Mass,NSF_Mass,BlackHoleMass,StarFormationRate,KappaCoRot
15233502,28,28000000000240,0,90566238208.0,0.666273295879364,0.016305331140756607,7530652160.0,506133774336.0,157459120.0,3.9788997173309326,0.2446134467256558
15471805,28,28000000000273,0,75229093888.0,0.6547321081161499,0.01893794722855091,146124080.0,355752443904.0,114070616.0,0.04071732610464096,0.2741036609839875
15656317,28,28000000000306,0,86321684480.0,0.6921151876449585,0.012121706269681454,5935972352.0,420084350976.0,127250448.0,2.513737440109253,0.24951273286907105
15959817,28,28000000000338,0,75354472448.0,0.6295685172080994,0.021328194066882133,2805691136.0,183015440384.0,80713592.0,1.2095383405685425,0.6038106293494699
16130870,28,28000000000371,0,62542573568.0,0.6809412837028503,0.013789632357656956,9140736000.0,359221100544.0,91265728.0,3.8222122192382812,0.4544124412451203
16364619,28,28000000000403,0,83253592064.0,0.7012186646461487,0.010332883335649967,5342473216.0,201828319232.0,93877352.0,1.881961464881897,0.33297418990052907
16504438,28,28000000000435,0,48220282880.0,0.7088592052459717,0.009046466089785099,963086592.0,140860129280.0,333398944.0,0.36883968114852905,0.1591759961618746
16632264,28,28000000000468,0,53221220352.0,0.6965233087539673,0.011104093864560127,511761056.0,143287320576.0,72350704.0,0.17235302925109863,0.16302094233804823
16750449,28,28000000000501,0,49611558912.0,0.6856188178062439,0.013184983283281326,8120262656.0,220381904896.0,24344156.0,2.7458744049072266,0.35925658234309304
16956975,28,28000000000534,0,57632690176.0,0.6899776458740234,0.01216371264308691,8044027904.0,194435399680.0,46626836.0,2.933216094970703,0.38876166114853006
17060657,28,28000000000566,0,37786320896.0,0.6482879519462585,0.018539611250162125,264664032.0,79218040832.0,166058064.0,0.08250746876001358,0.16408104617673694
17171463,28,28000000000598,0,66368040960.0,0.6384062170982361,0.021393848583102226,121115992.0,95846375424.0,89958272.0,0.03207642585039139,0.3021760373158151
17344766,28,28000000000633,0,38189408256.0,0.6986690759658813,0.011059747077524662,6969332224.0,149069135872.0,74907640.0,2.68355131149292,0.3987086977128784
17448931,28,28000000000669,0,50922700800.0,0.638020396232605,0.020371122285723686,3303144448.0,138213244928.0,41605540.0,2.0149292945861816,0.6466159252301105
11399676,28,28000000003378,0,2962131456.0,0.7033020257949829,0.009866372682154179,833074496.0,16762421248.0,808576.75,0.2903039753437042,0.3075000991245239
11421564,28,28000000003414,0,4036178944.0,0.6625328660011292,0.016061127185821533,407196864.0,11481678848.0,870911.5625,0.15265241265296936,0.18904399017009246
11584769,28,28000000003447,0,2218319872.0,0.6929711699485779,0.011300607584416866,402845920.0,11341826048.0,1891697.5,0.24750450253486633,0.20173879508877643
11603649,28,28000000003480,0,3893194240.0,0.6959307789802551,0.010907200165092945,937578880.0,7392337408.0,1141398.375,0.5588051676750183,0.15887214833111332
11622123,28,28000000003514,0,1142125696.0,0.6771228909492493,0.013854234479367733,236923024.0,8250501632.0,474513.03125,0.11047031730413437,0.1603882300477618
11639789,28,28000000003547,0,5765716480.0,0.6490678787231445,0.018190447241067886,669953536.0,2709143552.0,1111071.25,0.38001570105552673,0.5297992088550625
11658127,28,28000000003579,0,6708788736.0,0.636800229549408,0.020344220101833344,483017728.0,5093827072.0,862190.625,0.22548548877239227,0.32573476217099556
11676781,28,28000000003612,0,2440028928.0,0.709575355052948,0.00879741832613945,583047744.0,12344824832.0,257446.390625,0.2146686464548111,0.3653540876927625
3365426,28,28000000005875,0,1441309696.0,0.6557684540748596,0.017366472631692886,109298640.0,334231616.0,171849.53125,0.03295886889100075,0.3862043230261107
3416162,28,28000000006825,0,1101933184.0,0.7157787680625916,0.007654326036572456,445456288.0,5909528064.0,1030913.125,0.22409942746162415,0.34115554352382976
3595535,28,28000000007257,0,1133679488.0,0.7091469168663025,0.009202951565384865,481710112.0,6411068928.0,601350.125,0.1886347532272339,0.35989054794443676
3635941,28,28000100000245,0,1084236672.0,0.7136608362197876,0.00844703521579504,389762368.0,10145369088.0,188226.15625,0.12671270966529846,0.5332237609444784
3670604,28,28000100000486,0,1250679936.0,0.7084293365478516,0.008874565362930298,444329280.0,8344352768.0,307270.8125,0.14609232544898987,0.50553165502082
3703671,28,28000100000681,0,1464441728.0,0.6659350991249084,0.015461646020412445,151194032.0,996461760.0,333176.03125,0.061443984508514404,0.41787110321266124
3735620,28,28000100000845,0,1432700928.0,0.7136808633804321,0.00812471192330122,628313920.0,3808219136.0,464291.125,0.21255284547805786,0.4238659122905938
3758803,28,28000100000959,0,1189909632.0,0.6450182199478149,0.018361136317253113,88340760.0,13949819.0,480210.96875,0.030722657218575478,0.14201409701224216
3791937,28,28000100001100,0,1669846016.0,0.6643040776252747,0.015903662890195847,210439280.0,241494480.0,174235.3125,0.08197334408760071,0.31423989086102483
3833655,28,28000100001258,0,3035000320.0,0.5965816378593445,0.026346858590841293,201211504.0,31769546.0,153929.375,0.08892884850502014,0.4472278908668969
3882178,28,28000100001428,0,1316790912.0,0.6907012462615967,0.011559126898646355,241387680.0,1385127168.0,173263.171875,0.09443202614784241,0.3667272926992657
3913144,28,28000100001545,0,1144990336.0,0.6956607103347778,0.01071132905781269,250796240.0,1930163200.0,157091.4375,0.11831042915582657,0.5001478862568656
3964992,28,28000100001747,0,1980878464.0,0.6740223169326782,0.014682812616229057,288787424.0,2711509248.0,622215.3125,0.08718790858983994,0.4057945253799401
4066458,28,28000100002152,0,1090341760.0,0.6720742583274841,0.013395116664469242,80134992.0,507004256.0,176546.421875,0.04421580955386162,0.3606818250631625
4124192,28,28000100002386,0,1607677440.0,0.6628519296646118,0.015094682574272156,148457552.0,266930816.0,377955.5625,0.07158522307872772,0.2335124411160836
4188865,28,28000100002663,0,1826850816.0,0.6424663662910461,0.0195755735039711,79829208.0,343181088.0,868870.4375,0.026163725182414055,0.4079972509984766
4251974,28,28000100002926,0,2582306048.0,0.6288489103317261,0.02041139453649521,82491160.0,25130296.0,164382.859375,0.03646053746342659,0.41604820788943997
4379739,28,28000100003508,0,1527248768.0,0.7069358825683594,0.008727777749300003,441967744.0,2146727040.0,394359.28125,0.16510240733623505,0.371447085034631
4639638,28,28000100004115,0,1577560704.0,0.6824243068695068,0.01327459141612053,261948496.0,1065594688.0,322230.03125,0.09554827958345413,0.49799807506167226
4792228,28,28000100004880,0,1268980352.0,0.6578651666641235,0.017220696434378624,127817432.0,194901840.0,156160.5,0.05095430836081505,0.3321121886031017
5108771,28,28000100006591,0,1120923776.0,0.6751785278320312,0.01355015765875578,67387120.0,316297408.0,179889.9375,0.019525472074747086,0.2314871142507902
13032199,28,28000000006196,0,4631501824.0,0.6878994703292847,0.01242297887802124,986928448.0,4033109504.0,463189.25,0.32377710938453674,0.5880162465212153
13049031,28,28000000006252,0,1484999296.0,0.6596955060958862,0.015625016763806343,107438920.0,1846697216.0,727476.625,0.05209709703922272,0.18101907851826268
13065056,28,28000000006301,0,1518451584.0,0.6669280529022217,0.015236886218190193,170721040.0,2549207552.0,369817.6875,0.06863587349653244,0.2799729739779843
13080237,28,28000000006352,0,3802870784.0,0.6971064209938049,0.010637088678777218,853180736.0,3721733888.0,511019.78125,0.5144546031951904,0.41814799613283854
