GalaxyID_test,GroupID_test,snap_lm,z_lm,L_lm,snap_lmm,z_lmm,L_lmm
10372951,28000000002210,13.0,2.4784133434295654,1.8052887916564941,11.0,3.5279765129089355,1.9984842538833618
10487262,28000000002341,24.0,0.36566856503486633,1.0079811811447144,7.0,5.487415313720703,2.180342435836792
10500691,28000000002356,26.0,0.18270987272262573,1.314869999885559,26.0,0.18270987272262573,1.314869999885559
10517554,28000000002375,22.0,0.615189790725708,1.304443359375,22.0,0.615189790725708,1.304443359375
10983248,28000000002735,23.0,0.5031073093414307,1.0183871984481812,11.0,3.5279765129089355,2.0744831562042236
10235386,28000000002066,27.0,0.10063853859901428,1.0044447183609009,8.0,5.03723669052124,1.881102442741394
10249247,28000000002080,25.0,0.270901083946228,1.1196610927581787,,,
10284426,28000000002115,22.0,0.615189790725708,1.0037568807601929,12.0,3.0165045261383057,1.308943271636963
10297070,28000000002129,19.0,1.0041216611862183,1.0102109909057617,12.0,3.0165045261383057,1.3372737169265747
10479081,28000000002331,27.0,0.10063853859901428,1.0203919410705566,9.0,4.485213756561279,1.3966736793518066
10534860,28000000002396,27.0,0.10063853859901428,1.0096412897109985,,,
10564850,28000000002431,13.0,2.4784133434295654,1.0280119180679321,5.0,7.049566268920898,2.055752754211426
10569020,28000000002436,15.0,2.0124101638793945,1.0179556608200073,3.0,8.987874984741211,1.5438597202301025
10779107,28000000002471,25.0,0.270901083946228,1.0096409320831299,6.0,5.97116231918335,1.7715463638305664
10835613,28000000002538,24.0,0.36566856503486633,1.0042338371276855,14.0,2.237036943435669,1.3482204675674438
10858965,28000000002569,26.0,0.18270987272262573,1.0171763896942139,,,
11013274,28000000002776,24.0,0.36566856503486633,1.0071505308151245,7.0,5.487415313720703,1.3737366199493408
12159162,28000000000026,24.0,0.36566856503486633,1.0071505308151245,19.0,1.0041216611862183,1.3713897466659546
12164583,28000000000026,23.0,0.5031073093414307,1.7401182651519775,23.0,0.5031073093414307,1.7401182651519775
12165826,28000000000026,23.0,0.5031073093414307,1.7401182651519775,,,
16832144,28000000000026,23.0,0.5031073093414307,1.7401182651519775,24.0,0.36566856503486633,15.7199068069458
18758770,28000000000026,23.0,0.5031073093414307,1.7401182651519775,26.0,0.18270987272262573,1.6589816808700562
13151895,28000000000057,26.0,0.18270987272262573,1.2686066627502441,9.0,4.485213756561279,1.701184868812561
13154468,28000000000057,26.0,0.18270987272262573,1.2686066627502441,4.0,8.074616432189941,1.6193476915359497
13156705,28000000000057,24.0,0.36566856503486633,1.0064451694488525,16.0,1.7369657754898071,1.4316269159317017
19701409,28000000000008,24.0,0.36566856503486633,1.0064451694488525,23.0,0.5031073093414307,22.18233871459961
11434161,28000000000008,20.0,0.8650505542755127,1.0014578104019165,,,
11436474,28000000000008,20.0,0.8650505542755127,1.0014578104019165,8.0,5.03723669052124,1.8679569959640503
11440964,28000000000008,20.0,0.8650505542755127,1.0014578104019165,12.0,3.0165045261383057,1.385354995727539
11444550,28000000000008,20.0,0.8650505542755127,1.002808928489685,6.0,5.97116231918335,2.5373191833496094
5325099,28000000000008,22.0,0.615189790725708,1.0041719675064087,11.0,3.5279765129089355,1.3424649238586426
4479790,28000000000004,22.0,0.615189790725708,1.0195741653442383,15.0,2.0124101638793945,1.440317988395691
4480428,28000000000004,23.0,0.5031073093414307,1.0114933252334595,,,
11984724,28000000004221,21.0,0.7356296181678772,1.0080443620681763,7.0,5.487415313720703,1.8217356204986572
14815346,28000000000203,21.0,0.7356296181678772,1.0080443620681763,5.0,7.049566268920898,1.5171279907226562
8279115,28000000000203,18.0,1.259331464767456,10.785933494567871,18.0,1.259331464767456,10.785933494567871
15056752,28000000000217,18.0,1.259331464767456,10.785933494567871,16.0,1.7369657754898071,1.3023520708084106
2045966,28000000000217,16.0,1.7369657754898071,2.6053626537323,16.0,1.7369657754898071,2.6053626537323
8295057,28000000000217,16.0,1.7369657754898071,2.6053626537323,10.0,3.983663558959961,5.1439971923828125
15656317,28000000000306,16.0,1.7369657754898071,2.6053626537323,5.0,7.049566268920898,1.3198161125183105
2335940,28000000000306,20.0,0.8650505542755127,1.0093989372253418,6.0,5.97116231918335,3.402146577835083
15854815,28000000000320,20.0,0.8650505542755127,1.0093989372253418,4.0,8.074616432189941,1.796875
8399448,28000000000320,20.0,0.8650505542755127,1.0093989372253418,,,
16005098,28000000000347,27.0,0.10063853859901428,1.3264368772506714,27.0,0.10063853859901428,1.3264368772506714
16009893,28000000000347,27.0,0.10063853859901428,1.0054494142532349,3.0,8.987874984741211,1.4995354413986206
16085014,28000000000361,27.0,0.10063853859901428,1.0054494142532349,5.0,7.049566268920898,1.3346939086914062
16210120,28000000000387,27.0,0.10063853859901428,1.0054494142532349,18.0,1.259331464767456,1.416579246520996
20390999,28000000000095,27.0,0.10063853859901428,1.0054494142532349,6.0,5.97116231918335,1.3347227573394775
20809088,28000000000128,27.0,0.10063853859901428,1.0054494142532349,16.0,1.7369657754898071,1.632096767425537
1053069,28000000000128,14.0,2.237036943435669,1.018753170967102,8.0,5.03723669052124,1.3355656862258911
13744252,28000000000135,27.0,0.10063853859901428,1.002421259880066,,,
13746724,28000000000135,27.0,0.10063853859901428,1.272066354751587,19.0,1.0041216611862183,1.895557165145874
13747961,28000000000135,27.0,0.10063853859901428,1.272066354751587,13.0,2.4784133434295654,1.3404608964920044
13749519,28000000000135,27.0,0.10063853859901428,1.0037906169891357,3.0,8.987874984741211,1.3515714406967163
14143265,28000000000135,27.0,0.10063853859901428,1.0037906169891357,5.0,7.049566268920898,1.9050204753875732
14407360,28000000000158,27.0,0.10063853859901428,1.0037906169891357,2.0,9.993033409118652,2.8219187259674072
1406431,28000000000158,16.0,1.7369657754898071,1.026566982269287,,,
3480006,28000000000002,20.0,0.8650505542755127,1.0099793672561646,13.0,2.4784133434295654,1.653613805770874
3477850,28000000000002,14.0,2.237036943435669,1.0190441608428955,,,
3473901,28000000000002,20.0,0.8650505542755127,1.0116510391235352,8.0,5.03723669052124,1.436327338218689
11058614,28000000002839,20.0,0.8650505542755127,1.0116510391235352,8.0,5.03723669052124,2.5897881984710693
11140836,28000000002960,24.0,0.36566856503486633,1.0055500268936157,19.0,1.0041216611862183,1.402396321296692
11162917,28000000002995,24.0,0.36566856503486633,1.0055500268936157,7.0,5.487415313720703,1.5166771411895752
11223365,28000000003091,18.0,1.259331464767456,1.0193345546722412,12.0,3.0165045261383057,1.5878280401229858
11287892,28000000003193,24.0,0.36566856503486633,1.0067490339279175,,,
12070067,28000000004409,23.0,0.5031073093414307,1.0050990581512451,,,
8158153,28000000000000,23.0,0.5031073093414307,1.0235298871994019,13.0,2.4784133434295654,1.6941614151000977
8160537,28000000000000,24.0,0.36566856503486633,1.0238908529281616,6.0,5.97116231918335,1.3595417737960815
8155845,28000000000000,22.0,0.615189790725708,1.0096572637557983,,,
13935854,28000000000000,26.0,0.18270987272262573,1.0011985301971436,7.0,5.487415313720703,3.5322265625
13938864,28000000000000,26.0,0.18270987272262573,1.0011985301971436,13.0,2.4784133434295654,1.359317660331726
13945981,28000000000000,23.0,0.5031073093414307,1.000888466835022,8.0,5.03723669052124,1.5126482248306274
18481114,28000000000000,23.0,0.5031073093414307,1.000888466835022,,,
21109760,28000000000000,23.0,0.5031073093414307,1.000888466835022,6.0,5.97116231918335,5.4232869148254395
21242350,28000000000000,23.0,0.5031073093414307,1.000888466835022,20.0,0.8650505542755127,18.515525817871094
8151798,28000000000000,23.0,0.5031073093414307,1.0172536373138428,,,
8152592,28000000000000,20.0,0.8650505542755127,1.0021302700042725,,,
8153607,28000000000000,19.0,1.0041216611862183,1.1622660160064697,,,
13892596,28000000000000,19.0,1.0041216611862183,1.1622660160064697,19.0,1.0041216611862183,14.983963012695312
5324030,28000000000008,18.0,1.259331464767456,1.0113945007324219,,,
5321153,28000000000008,22.0,0.615189790725708,1.0099177360534668,21.0,0.7356296181678772,5.108626842498779
11461706,28000000000008,21.0,0.7356296181678772,1.0085842609405518,9.0,4.485213756561279,1.8289860486984253
11456124,28000000000008,19.0,1.0041216611862183,1.0244784355163574,8.0,5.03723669052124,1.9299240112304688
11457292,28000000000008,25.0,0.270901083946228,1.0140751600265503,,,
11458156,28000000000008,18.0,1.259331464767456,1.013906478881836,17.0,1.486707329750061,1.3715531826019287
11459778,28000000000008,21.0,0.7356296181678772,1.0057227611541748,4.0,8.074616432189941,5.542712211608887
11445935,28000000000008,21.0,0.7356296181678772,1.0057227611541748,11.0,3.5279765129089355,1.3055075407028198
11448052,28000000000008,21.0,0.7356296181678772,1.0057227611541748,,,
5367149,28000000000010,20.0,0.8650505542755127,1.0081050395965576,4.0,8.074616432189941,2.0790719985961914
11495443,28000000000010,20.0,0.8650505542755127,1.002810001373291,,,
11496982,28000000000010,21.0,0.7356296181678772,1.027819275856018,,,
11498256,28000000000010,25.0,0.270901083946228,1.0070810317993164,10.0,3.983663558959961,1.423642873764038
18680975,28000000000023,25.0,0.270901083946228,1.0070810317993164,10.0,3.983663558959961,1.7642945051193237
12142619,28000000000023,25.0,0.270901083946228,1.003031611442566,7.0,5.487415313720703,1.600521206855774
12143702,28000000000023,25.0,0.270901083946228,1.00129234790802,,,
12145071,28000000000023,23.0,0.5031073093414307,1.0073392391204834,11.0,3.5279765129089355,1.418974757194519
12147392,28000000000023,23.0,0.5031073093414307,1.0073392391204834,9.0,4.485213756561279,1.498067855834961
8310690,28000000000229,19.0,1.0041216611862183,1.0410124063491821,7.0,5.487415313720703,1.326828122138977
15305908,28000000000250,19.0,1.0041216611862183,1.0410124063491821,13.0,2.4784133434295654,1.4347050189971924
8331244,28000000000250,23.0,0.5031073093414307,1.0067617893218994,14.0,2.237036943435669,1.3712589740753174
15322026,28000000000252,23.0,0.5031073093414307,1.0067617893218994,17.0,1.486707329750061,1.419905424118042
15471805,28000000000273,23.0,0.5031073093414307,1.0067617893218994,19.0,1.0041216611862183,1.3872056007385254
8347310,28000000000273,23.0,0.5031073093414307,1.0067617893218994,9.0,4.485213756561279,2.4384281635284424
8349163,28000000000273,23.0,0.5031073093414307,1.0067617893218994,,,
15554595,28000000000287,27.0,0.10063853859901428,1.0003187656402588,25.0,0.270901083946228,1.584693431854248
15605780,28000000000296,27.0,0.10063853859901428,1.0003187656402588,17.0,1.486707329750061,1.3821680545806885
16130870,28000000000371,27.0,0.10063853859901428,1.0003187656402588,13.0,2.4784133434295654,2.156515121459961
4481514,28000000000004,20.0,0.8650505542755127,1.006911039352417,,,
4481850,28000000000004,20.0,0.8650505542755127,1.006911039352417,11.0,3.5279765129089355,1.5070133209228516
4475267,28000000000004,15.0,2.0124101638793945,1.021889090538025,5.0,7.049566268920898,1.4740556478500366
4475899,28000000000004,15.0,2.0124101638793945,1.021889090538025,13.0,2.4784133434295654,1.3502784967422485
4476932,28000000000004,24.0,0.36566856503486633,1.0012285709381104,4.0,8.074616432189941,1.4895853996276855
4477697,28000000000004,25.0,0.270901083946228,1.004891037940979,24.0,0.36566856503486633,1.476712703704834
16331601,28000000000013,25.0,0.270901083946228,1.004891037940979,17.0,1.486707329750061,1.6480144262313843
16342998,28000000000013,25.0,0.270901083946228,1.004891037940979,14.0,2.237036943435669,1.408444881439209
11515978,28000000000013,27.0,0.10063853859901428,1.0018622875213623,24.0,0.36566856503486633,1.413201928138733
11525815,28000000000013,27.0,0.10063853859901428,1.0018622875213623,27.0,0.10063853859901428,1.349350094795227
11529078,28000000000013,27.0,0.10063853859901428,1.0018622875213623,10.0,3.983663558959961,1.738446593284607
13259027,28000000000079,23.0,0.5031073093414307,1.0042234659194946,,,
13263388,28000000000079,27.0,0.10063853859901428,1.0493626594543457,14.0,2.237036943435669,1.3752498626708984
13265393,28000000000079,23.0,0.5031073093414307,1.0326123237609863,18.0,1.259331464767456,3.370990037918091
20043745,28000000000079,23.0,0.5031073093414307,1.0326123237609863,24.0,0.36566856503486633,8.212035179138184
592032,28000000000079,21.0,0.7356296181678772,1.017458438873291,,,
20069906,28000000000081,21.0,0.7356296181678772,1.017458438873291,19.0,1.0041216611862183,2.240246057510376
13738373,28000000000133,24.0,0.36566856503486633,1.6569145917892456,24.0,0.36566856503486633,1.6569145917892456
13739419,28000000000133,27.0,0.10063853859901428,1.0959274768829346,,,
10269192,28000000002100,27.0,0.10063853859901428,1.0959274768829346,9.0,4.485213756561279,1.3347643613815308
10280513,28000000002111,27.0,0.10063853859901428,1.0130990743637085,19.0,1.0041216611862183,1.3061429262161255
10345836,28000000002181,24.0,0.36566856503486633,1.1347436904907227,,,
10377621,28000000002215,25.0,0.270901083946228,1.6297954320907593,25.0,0.270901083946228,1.6297954320907593
10422405,28000000002265,24.0,0.36566856503486633,1.0047239065170288,9.0,4.485213756561279,2.177534818649292
10452289,28000000002299,18.0,1.259331464767456,1.0263339281082153,,,
10455656,28000000002304,27.0,0.10063853859901428,1.015408992767334,9.0,4.485213756561279,2.566502332687378
10503078,28000000002359,27.0,0.10063853859901428,1.0291016101837158,,,
10545919,28000000002409,27.0,0.10063853859901428,1.0291016101837158,,,
10838395,28000000002542,22.0,0.615189790725708,1.0514930486679077,,,
10906515,28000000002633,27.0,0.10063853859901428,1.0190324783325195,,,
17574678,28000000000057,27.0,0.10063853859901428,1.0190324783325195,22.0,0.615189790725708,1.3157836198806763
17585532,28000000000057,27.0,0.10063853859901428,1.0190324783325195,15.0,2.0124101638793945,5.027953147888184
17592248,28000000000057,27.0,0.10063853859901428,1.0190324783325195,16.0,1.7369657754898071,1.4864654541015625
12787951,28000000000057,27.0,0.10063853859901428,1.0190324783325195,18.0,1.259331464767456,1.3315472602844238
20655128,28000000000107,27.0,0.10063853859901428,1.0011531114578247,6.0,5.97116231918335,1.3381236791610718
13727034,28000000000125,24.0,0.36566856503486633,1.0064536333084106,19.0,1.0041216611862183,1.3077397346496582
20796004,28000000000125,24.0,0.36566856503486633,1.0064536333084106,21.0,0.7356296181678772,1.5216360092163086
14047307,28000000000130,24.0,0.36566856503486633,1.0064536333084106,19.0,1.0041216611862183,1.5470961332321167
11155489,28000000002983,23.0,0.5031073093414307,1.0308390855789185,,,
1407375,28000000000158,26.0,0.18270987272262573,1.0143048763275146,10.0,3.983663558959961,2.9863693714141846
15141076,28000000000228,27.0,0.10063853859901428,1.0005905628204346,7.0,5.487415313720703,1.5276587009429932
15250309,28000000000242,27.0,0.10063853859901428,1.0005905628204346,,,
15313860,28000000000251,27.0,0.10063853859901428,1.0005905628204346,5.0,7.049566268920898,1.7734777927398682
15465662,28000000000272,27.0,0.10063853859901428,1.0005905628204346,19.0,1.0041216611862183,10.094179153442383
8345840,28000000000272,16.0,1.7369657754898071,1.2508360147476196,,,
15507372,28000000000279,27.0,0.10063853859901428,1.039043664932251,8.0,5.03723669052124,14.576130867004395
15518506,28000000000281,27.0,0.10063853859901428,1.039043664932251,,,
8353604,28000000000281,25.0,0.270901083946228,1.2276021242141724,21.0,0.7356296181678772,1.3235094547271729
16135804,28000000000372,25.0,0.270901083946228,1.2276021242141724,17.0,1.486707329750061,38.037010192871094
3470803,28000000000002,25.0,0.270901083946228,1.2276021242141724,6.0,5.97116231918335,1.4076776504516602
3467928,28000000000002,17.0,1.486707329750061,1.03290593624115,,,
3469437,28000000000002,21.0,0.7356296181678772,1.013159155845642,,,
3467011,28000000000002,17.0,1.486707329750061,1.0009262561798096,,,
3461244,28000000000002,17.0,1.486707329750061,1.0009262561798096,4.0,8.074616432189941,2.489058256149292
3463997,28000000000002,17.0,1.486707329750061,1.0009262561798096,19.0,1.0041216611862183,1.4729640483856201
3435557,28000000000002,19.0,1.0041216611862183,1.0039582252502441,5.0,7.049566268920898,1.5653401613235474
16237005,28000000000392,27.0,0.10063853859901428,1.0040407180786133,,,
8460063,28000000000392,27.0,0.10063853859901428,1.0040407180786133,,,
8461949,28000000000392,27.0,0.10063853859901428,1.074813723564148,,,
16275865,28000000000401,27.0,0.10063853859901428,1.074813723564148,18.0,1.259331464767456,1.3146204948425293
8471988,28000000000401,22.0,0.615189790725708,1.009352445602417,9.0,4.485213756561279,3.308044910430908
16636196,28000000000469,25.0,0.270901083946228,1.0007963180541992,6.0,5.97116231918335,1.4473037719726562
16865319,28000000000510,25.0,0.270901083946228,1.0007963180541992,17.0,1.486707329750061,1.4817346334457397
16994863,28000000000544,27.0,0.10063853859901428,1.005078911781311,21.0,0.7356296181678772,1.5532196760177612
8559377,28000000000544,27.0,0.10063853859901428,1.005078911781311,3.0,8.987874984741211,1.5119826793670654
17014995,28000000000551,23.0,0.5031073093414307,1.0040624141693115,,,
8563942,28000000000551,23.0,0.5031073093414307,1.0040624141693115,23.0,0.5031073093414307,1.5569628477096558
17124510,28000000000585,24.0,0.36566856503486633,1.132392406463623,,,
17511061,28000000000693,26.0,0.18270987272262573,1.014824390411377,,,
17691608,28000000000734,27.0,0.10063853859901428,1.0018295049667358,,,
17727431,28000000000748,26.0,0.18270987272262573,1.0049567222595215,,,
12114173,28000000000020,16.0,1.7369657754898071,1.041980504989624,6.0,5.97116231918335,1.4262094497680664
12115374,28000000000020,20.0,0.8650505542755127,1.0116324424743652,5.0,7.049566268920898,2.7074809074401855
