GalaxyID_test,Snap_Last_Minor_Merger,L_Last_Minor_Merger,Redshift_Minor
2442014,18,1.1948214769363403,1.26
10145405,18,1.2581366300582886,1.26
14552942,18,1.2794822454452517,1.26
17180648,18,1.490109920501709,1.26
11509762,18,1.639978528022766,1.26
15250309,18,1.170597791671753,1.26
17229908,18,1.3661478757858276,1.26
20915734,18,1.4263347387313845,1.26
13702203,18,1.9590680599212649,1.26
132808,18,1.5116968154907229,1.26
15614724,18,1.119523525238037,1.26
9362530,18,1.273261547088623,1.26
17825366,18,1.4924662113189695,1.26
12154474,18,1.245952606201172,1.26
12156651,18,1.945576906204224,1.26
9070701,18,1.4502615928649902,1.26
10171253,18,1.2782251834869385,1.26
2566862,18,1.437483549118042,1.26
12787951,18,1.3322020769119265,1.26
9987252,18,1.2973486185073853,1.26
9264861,18,1.252636194229126,1.26
8640505,18,9.223708152770996,1.26
13854598,18,1.5472936630249023,1.26
8754567,18,1.232217788696289,1.26
18133716,18,1.221738576889038,1.26
9119231,18,1.104786038398743,1.26
16126633,18,1.4462652206420898,1.26
17255594,18,1.3715033531188965,1.26
17636732,18,1.15225350856781,1.26
10342135,18,1.7257879972457886,1.26
9955909,18,1.1159247159957886,1.26
10014008,18,1.1251227855682373,1.26
10219261,18,1.1245512962341309,1.26
9727663,18,1.9443924427032468,1.26
16275865,18,1.3149899244308472,1.26
13848161,18,1.2125517129898071,1.26
2424088,18,1.2823486328125,1.26
9966100,18,1.2536938190460205,1.26
8339149,18,1.1927666664123535,1.26
17700007,18,1.2858189344406128,1.26
13684843,18,1.55916166305542,1.26
13774872,18,1.1992549896240234,1.26
13209567,18,4.104574203491212,1.26
16649034,18,1.326774835586548,1.26
16899534,18,1.13598895072937,1.26
15189923,18,1.1743868589401243,1.26
10264691,18,1.13186514377594,1.26
15656317,18,1.2000411748886108,1.26
17500195,18,1.113675594329834,1.26
17966782,18,1.1710054874420166,1.26
9347298,18,1.1381216049194336,1.26
9275335,18,1.1920803785324097,1.26
9150430,18,1.1654235124588013,1.26
15673373,18,1.1793594360351562,1.26
9869935,18,1.1335033178329468,1.26
18012948,18,1.368138074874878,1.26
8716719,18,1.115748643875122,1.26
15233502,18,1.339327692985535,1.26
14774113,18,1.141636848449707,1.26
8536492,18,1.4871293306350708,1.26
10254837,18,1.1425354480743408,1.26
8279115,18,10.785933494567873,1.26
8322065,18,1.146224856376648,1.26
2389392,18,1.132166862487793,1.26
10657105,18,1.174275040626526,1.26
16262527,18,1.2126891613006592,1.26
16539730,18,1.1211646795272827,1.26
11009044,18,4.3441219329833975,1.26
10852759,18,1.1639654636383057,1.26
14648181,18,1.3109093904495241,1.26
9065058,18,1.4039307832717896,1.26
9037349,18,1.1110811233520508,1.26
14623008,18,1.3026833534240725,1.26
9994243,18,6.225581169128418,1.26
8797510,18,1.100143551826477,1.26
15605780,18,1.1468223333358765,1.26
9942163,18,1.1749557256698608,1.26
9187924,18,1.1402990818023682,1.26
13802320,18,1.349037766456604,1.26
13239980,18,1.3273931741714478,1.26
9337180,18,1.2542823553085327,1.26
18032140,18,17.855422973632812,1.26
10061897,18,1.1669374704360962,1.26
9169641,18,1.1750556230545044,1.26
9325839,18,1.277773380279541,1.26
13659797,18,1.6297621726989746,1.26
9696944,18,1.2782607078552246,1.26
17545416,18,2.224271059036255,1.26
17746162,18,3.835028648376465,1.26
9161415,18,1.5541620254516602,1.26
16442649,18,1.2500115633010864,1.26
18452163,18,1.217343807220459,1.26
9631594,18,1.135966420173645,1.26
8518412,18,1.614155411720276,1.26
10664749,18,1.604299545288086,1.26
10138698,18,1.3545863628387451,1.26
8409333,18,1.3796367645263672,1.26
13214972,18,1.418608546257019,1.26
8328197,18,1.7043617963790894,1.26
20823324,18,1.1780588626861572,1.26
9034191,18,1.2267851829528809,1.26
17213205,18,78.4801025390625,1.26
14837488,18,1.2068032026290894,1.26
