GalaxyID,NSF_Mass,KappaCoRot,SubHaloGalaxyID
17618672,72102430000.0,0.31125571521966283,17618672
17618665,672639400000.0,0.4535307938652544,17618665
17618664,644091500000.0,0.19548775445536387,17618664
19943802,562962600000.0,0.33185897206089837,19943802
19943801,467348720000.0,0.13489061248128784,19943801
234345,11702359000.0,0.3083052942224229,234345
16291716,40832287000.0,0.4703775220531834,16291716
16291715,53522770000.0,0.2480760127803386,16291715
16291711,176305930000.0,0.24372392907618812,16291711
16291710,134921190000.0,0.21342632698312486,16291710
16291703,345843430000.0,0.3731959923371716,16291703
16291702,378799330000.0,0.45261903373847606,16291702
11492344,12837349000.0,0.18880230969050754,11492344
11492343,16186505000.0,0.22736857240642963,11492343
11492343,16186505000.0,0.22736857240642963,11492343
11492342,31290980000.0,0.23023980500387642,11492342
13741802,22686247000.0,0.17059318736212095,13741802
13741801,21881400000.0,0.18975421416750934,13741801
14132561,29920838000.0,0.3038878952786915,14132561
14132560,41068170000.0,0.1909899283739059,14132560
14240988,66906020000.0,0.2176976622048974,14240988
14240987,88971985000.0,0.2733026608454907,14240987
14240986,167309340000.0,0.38167772985095116,14240986
14240985,233712760000.0,0.5027703398334522,14240985
14240985,233712760000.0,0.5027703398334522,14240985
14240984,271158890000.0,0.22542617449186542,14240984
14240980,640847100000.0,0.19115533450922284,14240980
14240979,782029950000.0,0.13243051812499734,14240979
14338956,6605930000.0,0.18170612840650857,14338956
14338956,6605930000.0,0.18170612840650857,14338956
14338955,25154111000.0,0.1480569790004663,14338955
14338952,62421852000.0,0.29387203558729835,14338952
14338951,105304280000.0,0.21129438128093764,14338951
14338948,354476800000.0,0.19138836587929037,14338948
14338947,485161340000.0,0.3310888174349879,14338947
14338946,675192960000.0,0.3006865005505721,14338946
14338945,661527800000.0,0.15937055628322164,14338945
15134544,97800220000.0,0.2497981339664699,15134544
15134543,110741020000.0,0.258219305578512,15134543
15134541,153636810000.0,0.36060350361585014,15134541
15134540,167497470000.0,0.42644443382871056,15134540
15151472,25368717000.0,0.2181118779856201,15151472
15151471,41140605000.0,0.12380203967854539,15151471
15151463,179423940000.0,0.2992750792282622,15151463
15151462,163608050000.0,0.15488565657523007,15151462
10321701,8014894600.0,0.2159023963922146,10321701
10372967,6699798500.0,0.14741852158120694,10372967
10372966,8032918000.0,0.11264111517153272,10372966
10500694,21785938000.0,0.25380794037547477,10500694
10500693,19950442000.0,0.1861615385079338,10500693
10517561,20328083000.0,0.15984540107709172,10517561
10517560,19618322000.0,0.15642552240666588,10517560
10249256,23743875000.0,0.4248488753014877,10249256
10249255,20706966000.0,0.4907986042838447,10249255
10249251,21250417000.0,0.32662287425307723,10249251
10249250,21903070000.0,0.243626583224739,10249250
10284443,12810682000.0,0.1936294030739133,10284443
10284442,12910179000.0,0.25428688078241124,10284442
10297087,6503846400.0,0.31512376827668565,10297087
10297086,10155286000.0,0.14771128025093028,10297086
11013286,13746888000.0,0.4593782757789704,11013286
11013285,16563211000.0,0.1740870215546574,11013285
12159177,8099568600.0,0.23874485295017067,12159177
12159176,34876297000.0,0.277636781406921,12159176
12159176,34876297000.0,0.277636781406921,12159176
12159175,46378398000.0,0.33407171909270045,12159175
12159172,188673600000.0,0.41840552687311344,12159172
12159171,182354330000.0,0.2732265455856376,12159171
12159171,182354330000.0,0.2732265455856376,12159171
12159170,172873170000.0,0.15572984379438365,12159170
12165840,15124505000.0,0.24793959458021508,12165840
12165839,21077344000.0,0.24294783223750246,12165839
18758786,74575180000.0,0.4490676933772119,18758786
18758785,92990290000.0,0.576365349563541,18758785
18758780,229204180000.0,0.6895760338825109,18758780
18758779,392316400000.0,0.5491153706167633,18758779
18758773,2141701700000.0,0.4725815373532704,18758773
18758772,3988086300000.0,0.24241906333258426,18758772
13151898,34370010000.0,0.4022301311848109,13151898
13151897,28467436000.0,0.17394118919525203,13151897
13156718,12160928000.0,0.23363072790268805,13156718
13156717,16308852000.0,0.2900176587436574,13156717
19701426,78453430000.0,0.5086030100761805,19701426
19701425,112469975000.0,0.5764395686323157,19701425
19701422,188605140000.0,0.20537195004950048,19701422
