GalaxyID_snap28,GalaxyID,Lm_max,GroupID,SubGroupNumber,LastProgID,TopLeafID,DescendantID,SnapNum,Stars_Mass,SF_Hydrogen,SF_Oxygen,Redshift,StarFormationRate,Stars_Metallicity,SF_Mass,NSF_Mass,BlackHoleMass,MassType_DM,SF_Metallicity,Vmax,CentreOfPotential_x,CentreOfPotential_y,CentreOfPotential_z,HalfMassRad_Star,sSFR,SF_logOH,tiempo
12178297,12178314,1.11796772480011,11000500000074,0,12178381,12178322,12178313,11,62990420.0,0.74743295,0.0011577989,3.5279765,0.12233084,0.0006940295,212995950.0,4322712000.0,150533.83,52634407000.0,0.002060379,103.22287,21.293787,61.18887,5.3146567,3.2578259,1.9420547e-09,7.9859405,1.7945184
12178297,12178313,1.11796772480011,12000400000601,0,12178431,12178322,12178312,12,181475940.0,0.7464788,0.0017705704,3.0165045,0.19477838,0.0010275152,371183230.0,7457265700.0,150540.81,87846810000.0,0.0028216536,114.44048,21.409868,61.33475,5.4971795,4.1102705,1.0733014e-09,8.170976,2.1443036
12178297,12178308,1.3278032541275024,17000000002142,0,12178673,12178322,12178307,17,3123632400.0,0.7341817,0.0047540483,1.4867073,2.7207704,0.0058156517,5393390600.0,32040823000.0,1138427.0,400327840000.0,0.00897846,141.0927,22.17798,62.25745,6.470295,6.0474467,8.710277e-10,8.607141,4.325295
12178297,12178307,1.3278032541275024,18000000001276,0,12178881,12178322,12178306,18,5964829700.0,0.7243829,0.0067652427,1.2593315,3.6991105,0.0073707704,6206694000.0,34243764000.0,1598594.1,534080700000.0,0.013579243,145.2289,22.275997,62.532715,6.701582,5.2490454,6.201536e-10,8.766195,4.9582767
12178297,12178306,1.693461775779724,19000200000161,0,12179124,12178322,12178305,19,11798049000.0,0.7180314,0.0078859525,1.0041217,7.77541,0.009494637,12232870000.0,39987737000.0,2657296.2,961971600000.0,0.01636771,201.78494,22.410093,63.000687,7.0119977,6.1853986,6.5904204e-10,8.836591,5.8637867
12178297,12178305,1.693461775779724,20000000001134,0,12179794,12178322,12178304,20,27362454000.0,0.69672143,0.01179553,0.86505055,18.171106,0.014665788,17046493000.0,55687086000.0,10869470.0,1134398000000.0,0.02558513,216.2828,22.677961,63.241154,7.280589,3.5544584,6.6408906e-10,9.024539,6.471967
12180228,12180245,1.1220543384552002,11000400000183,0,12180303,12180254,12180244,11,167595800.0,0.74536175,0.0019229172,3.5279765,0.2304219,0.0018256529,426221280.0,5926129700.0,176281.75,67118805000.0,0.0032158585,102.584724,18.568954,69.52928,8.833085,1.9379585,1.3748668e-09,8.207474,1.7945184
12180228,12180244,1.1220543384552002,12000400001051,0,12180383,12180254,12180243,12,410265540.0,0.74475366,0.0021503796,3.0165045,0.6044098,0.0019540843,1120623100.0,6416708600.0,372207.4,85471530000.0,0.0035706977,116.53995,18.863424,69.38066,8.905166,2.6856756,1.4732161e-09,8.256383,2.1443036
12180228,12180239,1.5410871505737305,17000000002543,0,12180479,12180254,12180238,17,2856280600.0,0.7254098,0.0064029945,1.4867073,1.73842,0.006995941,3130232600.0,21338440000.0,682139.1,438914120000.0,0.0129712485,151.87628,20.142996,68.70004,9.495473,3.9399912,6.086307e-10,8.74168,4.325295
12180228,12180238,1.5410871505737305,18000000002809,0,12180649,12180254,12180237,18,7072500000.0,0.715958,0.008322952,1.2593315,2.9877074,0.009591356,5230059500.0,19315012000.0,1002126.75,431148400000.0,0.017359832,161.18889,20.528967,68.42856,9.59994,3.6871893,4.2244006e-10,8.86127,4.9582767
12180228,12180238,1.1119861602783203,18000000002809,0,12180649,12180254,12180237,18,7072500000.0,0.715958,0.008322952,1.2593315,2.9877074,0.009591356,5230059500.0,19315012000.0,1002126.75,431148400000.0,0.017359832,161.18889,20.528967,68.42856,9.59994,3.6871893,4.2244006e-10,8.86127,4.9582767
12180228,12180237,1.1119861602783203,19000500000254,0,12180881,12180254,12180236,19,9285253000.0,0.69964117,0.010908848,1.0041217,2.6651778,0.012284128,4815963000.0,16091483000.0,1122876.2,422170760000.0,0.024149133,159.19629,21.095123,68.06353,9.75691,3.897088,2.870334e-10,8.988784,5.8637867
17199679,17199691,1.4490121603012085,16000000000236,0,17201504,17199705,17199690,16,53541890000.0,0.7066388,0.009928385,1.7369658,32.670776,0.01966095,31946027000.0,164420000000.0,19880456.0,2342720400000.0,0.021091176,328.06757,19.576927,65.44027,6.3492846,2.3171337,6.1019095e-10,8.943562,3.7668543
17199679,17199690,1.4490121603012085,17000000000319,0,17202628,17199705,17199689,17,91908910000.0,0.6885881,0.013166457,1.4867073,55.111923,0.019450901,42958766000.0,158887460000.0,27437248.0,2320160300000.0,0.028875424,359.08905,19.754019,65.38754,6.518687,3.788433,5.996364e-10,9.07739,4.325295
18849992,18850006,1.1280858516693115,14000000000077,0,18851959,18850018,18850005,14,64189990000.0,0.71241325,0.008217021,2.237037,52.340195,0.020919293,36804690000.0,173720930000.0,79509940.0,3186247900000.0,0.017885277,437.6566,21.690006,66.65481,8.23752,1.1737795,8.15395e-10,8.857862,2.948652
18849992,18850005,1.1280858516693115,15000000000051,0,18852728,18850018,18850004,15,80762130000.0,0.6981152,0.011039187,2.0124102,39.349503,0.021779086,24333736000.0,205449560000.0,140090480.0,3686638300000.0,0.024288796,477.07874,21.800575,66.48864,8.314627,1.0816752,4.8722715e-10,8.99489,3.2762244
18849992,18850002,1.6471927165985107,18000000000063,0,18854842,18850018,18850001,18,111934010000.0,0.6971239,0.0109413015,1.2593315,24.372055,0.023614135,24548684000.0,706068740000.0,212705280.0,7940087500000.0,0.024961779,459.0968,22.760286,65.96966,8.7391815,1.4975176,2.1773591e-10,8.991639,4.9582767
18849992,18850001,1.6471927165985107,19000000000060,0,18859368,18850018,18850000,19,210859930000.0,0.7060462,0.009277071,1.0041217,14.992456,0.022453755,18310545000.0,940082400000.0,387275070.0,11604796000000.0,0.021121481,493.5067,23.129135,65.959335,8.940788,5.397473,7.110149e-11,8.914458,5.8637867
10277847,10277857,1.7584269046783447,18000000003578,0,10278130,10277873,10277856,18,1590292400.0,0.73066074,0.005205473,1.2593315,1.2182548,0.007307815,2476356000.0,14867662000.0,150197.8,257325920000.0,0.010415234,118.04347,87.45842,28.064127,10.662661,4.2993145,7.6605716e-10,8.648624,4.9582767
10277847,10277856,1.7584269046783447,19000400000371,0,10278438,10277873,10277855,19,4873117700.0,0.72440493,0.0064087273,1.0041217,4.6067343,0.009079217,4988848000.0,18787643000.0,320428.88,481213600000.0,0.013379966,152.50415,87.020905,28.352776,10.7080765,4.9871173,9.453361e-10,8.742671,5.8637867
10387803,10387817,1.1086031198501587,14000000004581,0,10387990,10387829,10387816,14,491071870.0,0.7450788,0.0019134864,2.237037,1.3176231,0.003028239,2084545400.0,13918835000.0,156737.05,151979540000.0,0.003378481,114.77645,19.86268,58.20485,12.072085,2.5827937,2.6831575e-09,8.205503,2.948652
10387803,10387816,1.1086031198501587,15000400000032,0,10387991,10387829,10387815,15,797646140.0,0.7430061,0.002449684,2.0124102,1.6326978,0.00322848,2489522200.0,13886472000.0,157132.66,161810320000.0,0.0043613487,119.19836,19.84043,58.43164,12.1047945,3.0669239,2.0468949e-09,8.313998,3.2762244
10387803,10387811,1.224653959274292,20000000002948,0,10388349,10387829,10387810,20,5518424000.0,0.71005905,0.00909949,0.86505055,1.7068206,0.010742306,3786643700.0,19639005000.0,472240.78,425748270000.0,0.019694183,138.12045,19.783566,60.66874,12.524747,4.593024,3.0929492e-10,8.903603,6.471967
10387803,10387810,1.224653959274292,21000000003025,0,10388495,10387829,10387809,21,7516798500.0,0.7001859,0.010758994,0.7356296,1.5091506,0.011791267,3180915500.0,20868893000.0,814557.2,419572500000.0,0.023974035,142.32187,19.81896,61.050995,12.604859,4.9104967,2.007704e-10,8.982438,7.1307774
10414448,10414460,1.274484157562256,16000000006230,0,10414535,10414474,10414459,16,341996030.0,0.74255997,0.0026037034,1.7369658,0.51591694,0.0030944825,916318200.0,11206559000.0,155547.81,148576580000.0,0.0046644392,109.70327,1.0271751,89.16858,64.31469,5.8574114,1.5085466e-09,8.34074,3.7668543
10414448,10414459,1.274484157562256,17000000003074,0,10414679,10414474,10414458,17,694235100.0,0.74115086,0.002949393,1.4867073,0.72103,0.0035511884,1078143400.0,14473616000.0,307941.8,206077900000.0,0.005324182,103.71346,1.4328723,88.89434,63.714264,4.646324,1.0385963e-09,8.395706,4.325295
10414448,10414457,1.5339258909225464,19000400000427,0,10414770,10414474,10414456,19,2359782400.0,0.72921187,0.0056205816,1.0041217,1.1056486,0.0063987677,1941601700.0,21035858000.0,458253.72,384427980000.0,0.011218129,129.29176,2.647858,88.090225,61.87616,5.058416,4.685384e-10,8.682808,5.8637867
10414448,10414456,1.5339258909225464,20000000002677,0,10414975,10414474,10414455,20,4567366700.0,0.7237868,0.0065417043,0.86505055,2.4777634,0.008984921,4220326100.0,19042267000.0,760879.3,408723750000.0,0.013670791,140.04112,3.1154265,87.78407,61.325832,4.100753,5.424928e-10,8.751961,6.471967
10450101,10450117,1.2251276969909668,12000200000803,0,10450220,10450128,10450116,12,373153280.0,0.74672353,0.0015650707,3.0165045,1.2518362,0.0021955424,1532622700.0,10236234000.0,324383.16,131794450000.0,0.002618316,117.33126,12.2294445,42.33672,49.363995,3.0842874,3.3547505e-09,8.117254,2.1443036
10450101,10450116,1.2251276969909668,13000100000977,1,10450283,10450128,10450115,13,826982850.0,0.7422538,0.002753298,2.4784133,1.3788284,0.0028304663,2013862100.0,7323117000.0,328762.03,95670720000.0,0.0047760117,122.72778,11.757412,42.430943,49.76165,3.1995797,1.6672999e-09,8.365181,2.6525817
10450101,10450110,1.6821146011352541,19000500000362,0,10450476,10450128,10450109,19,4933347300.0,0.7077854,0.009127924,1.0041217,1.4303589,0.0108039845,2651781600.0,15675557000.0,933420.5,362061500000.0,0.020389369,141.61313,9.984802,42.524326,51.7773,3.3645463,2.899368e-10,8.906351,5.8637867
10450101,10450109,1.6821146011352541,20000000003140,0,10450798,10450128,10450108,20,8697722000.0,0.70634794,0.009543592,0.86505055,2.8242044,0.012122432,4904034000.0,15367074000.0,1770207.0,403692030000.0,0.021113174,154.57564,9.76422,42.544582,52.058132,4.150631,3.2470623e-10,8.926574,6.471967
10467985,10468002,1.6032612323760986,11000200000543,0,10468089,10468012,10468001,11,355415360.0,0.7458044,0.0017966273,3.5279765,0.9822931,0.0020970544,1414943600.0,5653529600.0,150719.38,103775764000.0,0.0030286072,112.96946,86.25573,86.88033,27.13678,2.1290724,2.7637892e-09,8.177713,1.7945184
10467985,10468001,1.6032612323760986,12000200000967,0,10468199,10468012,10468000,12,915051800.0,0.74041414,0.0033827042,3.0165045,0.23767415,0.0025308728,519060580.0,8708038000.0,306843.4,170875190000.0,0.0057208394,138.8355,86.14731,86.78061,27.47671,4.464472,2.5973848e-10,8.455669,2.1443036
10467985,10468001,1.101534366607666,12000200000967,0,10468199,10468012,10468000,12,915051800.0,0.74041414,0.0033827042,3.0165045,0.23767415,0.0025308728,519060580.0,8708038000.0,306843.4,170875190000.0,0.0057208394,138.8355,86.14731,86.78061,27.47671,4.464472,2.5973848e-10,8.455669,2.1443036
10467985,10468000,1.101534366607666,13000300000770,0,10468234,10468012,10467999,13,1442759700.0,0.73865247,0.0036539678,2.4784133,2.0006368,0.003622882,2962665500.0,9414443000.0,307319.94,173997000000.0,0.006591312,139.84665,86.033424,86.57824,27.973894,3.0182095,1.3866737e-09,8.490205,2.6525817
10763260,10763275,1.2128820419311523,13000300000514,0,10763344,10763286,10763274,13,201044110.0,0.7435728,0.0025283305,2.4784133,0.19286178,0.0024470093,382228450.0,8852623000.0,149242.45,126413700000.0,0.0042420654,109.707855,31.413645,73.98656,50.90984,4.1485863,9.593009e-10,8.327391,2.6525817
10763260,10763274,1.2128820419311523,14000000004580,0,10763379,10763286,10763273,14,411361300.0,0.7454494,0.0019295359,2.237037,0.9703383,0.0021991367,1616669400.0,11254130000.0,296892.06,177399960000.0,0.0032473556,129.71483,31.207985,74.35239,50.833786,3.73293,2.3588467e-09,8.208915,2.948652
10763260,10763272,1.2053375244140625,16000000003464,0,10763484,10763286,10763271,16,1230739300.0,0.73844,0.003606634,1.7369658,1.3630168,0.0037231098,2500863700.0,19470750000.0,460292.4,238275150000.0,0.0066203815,133.94484,30.699512,75.25431,50.51808,5.21917,1.1074781e-09,8.484668,3.7668543
10763260,10763271,1.2053375244140625,17000000003387,0,10763700,10763286,10763270,17,2444959500.0,0.73482513,0.0044849967,1.4867073,2.5668397,0.005348883,4811314700.0,18770428000.0,1133002.8,321827050000.0,0.0085094115,165.02771,30.336393,75.81373,50.361988,5.5020266,1.0498495e-09,8.581458,4.325295
10779974,10779989,1.1394953727722168,13000300000132,0,10780136,10780000,10779988,13,472588320.0,0.7436112,0.002392939,2.4784133,0.7476788,0.0023167937,1282076300.0,13958801000.0,304380.4,140626640000.0,0.004092605,112.283745,61.666103,95.11534,25.12919,3.639569,1.5820933e-09,8.303466,2.6525817
10779974,10779988,1.1394953727722168,14000000004543,0,10780157,10780000,10779987,14,727728060.0,0.73974013,0.0036134364,2.237037,0.5284819,0.0029286963,1116847100.0,15578103000.0,305067.3,154762020000.0,0.0061660768,119.11382,61.511044,95.107414,25.093832,3.4452746,7.262079e-10,8.484721,2.948652
10961477,10961490,1.196800708770752,15000300000330,0,10961620,10961504,10961489,15,1483016300.0,0.7411787,0.0030301628,2.0124102,2.573233,0.00422906,4336870000.0,17899788000.0,454070.56,208860380000.0,0.0054257773,138.59715,90.96166,59.86982,27.710402,6.507576,1.7351346e-09,8.407423,3.2762244
10961477,10961489,1.196800708770752,16000000004163,0,10961742,10961504,10961488,16,2706560300.0,0.73336744,0.0048732595,1.7369658,2.4481716,0.0055164765,4541166600.0,18522698000.0,622721.56,233922080000.0,0.009245246,137.55067,90.9396,59.94991,28.020609,5.066233,9.0453245e-10,8.618379,3.7668543
10961477,10961486,1.1338504552841189,19000500000045,0,10961883,10961504,10961485,19,7412747300.0,0.7171753,0.007858322,1.0041217,3.3253179,0.00972359,6199156700.0,18293352000.0,942402.5,445545550000.0,0.0165624,146.68825,90.73937,60.312977,29.242676,7.633724,4.4859452e-10,8.835585,5.8637867
